Score,Source IP,Destination IP,Connections,Avg Bytes,Intvl Range,Size Range,Top Intvl,Top Size,Top Intvl Count,Top Size Count,Intvl Skew,Size Skew,Intvl Dispersion,Size Dispersion
0.818,92.61.243.202,192.168.23.89,66,78,173414,11,1,80,10,33,0,0,0,3
0.818,156.154.85.144,192.168.23.89,72,77,173417,12,1,80,11,27,0,0,0,3
0.818,80.67.169.12,192.168.23.89,22,75,823701,7,1,73,6,11,0,0,0,3
0.817,192.168.23.89,180.180.123.227,95,220,793236,2032,181,88,10,83,0,0,3,0
0.817,192.99.114.195,192.168.23.89,93,16,552580,40,1,0,14,62,0,0,3,0
0.817,154.16.67.94,192.168.23.89,36,25,137050,80,1,0,6,21,0,0,3,0
0.817,144.172.73.7,192.168.23.89,21,32,26347,40,1,40,2,11,0,0,3,0
0.817,192.168.23.89,103.208.218.150,54,195,182,1928,155,88,7,51,0,0,3,0
0.817,66.70.198.235,192.168.23.89,32,18,119126,40,2,0,4,21,0,0,3,0
0.817,192.168.23.89,103.219.112.63,69,182,465102,2244,135,88,10,66,0,0,3,0
0.817,49.232.16.47,192.168.23.89,136,148,439,1853,81,60,13,98,0,0,3,0
0.817,61.136.144.41,192.168.23.89,107,166,628,2085,91,60,16,84,0,0,3,0
0.817,192.168.23.89,157.131.240.195,53,200,174,1992,161,88,8,50,0,0,3,0
0.817,113.31.144.153,192.168.23.89,106,124,227,1749,50,60,11,94,0,0,3,0
